isnrnmc,cod,start,fin,con_of_int
1,2000/0032(COD),26/01/2000,30/05/2001,0
2,2000/0032(COD),26/01/2000,30/05/2001,0
3,2000/0032(COD),26/01/2000,30/05/2001,0
4,2000/0032(COD),26/01/2000,30/05/2001,0
5,2000/0060(COD),23/03/2000,18/02/2002,0
6,2000/0060(COD),23/03/2000,18/02/2002,0
7,2000/0062(COD),14/03/2000,23/07/2001,0
8,2000/0062(COD),14/03/2000,23/07/2001,0
9,2000/0062(COD),14/03/2000,23/07/2001,0
10,2000/0067(COD),21/03/2000,18/02/2002,0
11,2000/0067(COD),21/03/2000,18/02/2002,0
12,2000/0184(COD),12/07/2000,07/03/2002,0
13,2000/0184(COD),12/07/2000,07/03/2002,0
14,2000/0184(COD),12/07/2000,07/03/2002,0
19,1996/0085(COD),13/03/1996,27/09/2001,0
20,1996/0085(COD),13/03/1996,27/09/2001,0
21,1996/0085(COD),13/03/1996,27/09/2001,0
22,1996/0085(COD),13/03/1996,27/09/2001,0
23,1996/0112(COD),17/04/1996,23/06/2000,0
24,1996/0112(COD),17/04/1996,23/06/2000,0
25,1996/0112(COD),17/04/1996,23/06/2000,0
26,1996/0112(COD),17/04/1996,23/06/2000,0
29,1997/0264(COD),10/10/1997,16/05/2000,1
30,1997/0359(COD),10/12/1997,22/05/2001,0
31,1997/0359(COD),10/12/1997,22/05/2001,0
32,1997/0359(COD),10/12/1997,22/05/2001,0
33,1998/0134(COD),03/06/1998,16/11/2000,0
34,1998/0134(COD),03/06/1998,16/11/2000,0
35,1998/0134(COD),03/06/1998,16/11/2000,0
36,1998/0134(COD),03/06/1998,16/11/2000,0
37,1998/0191(COD),13/05/1998,13/12/1999,0
38,1998/0191(COD),13/05/1998,13/12/1999,0
39,1998/0191(COD),13/05/1998,13/12/1999,0
40,1998/0195(COD),27/05/1998,24/01/2000,0
41,1998/0195(COD),27/05/1998,24/01/2000,0
42,1998/0195(COD),27/05/1998,24/01/2000,0
43,1998/0240(COD),27/07/1998,16/12/1999,0
44,1998/0252(COD),21/09/1998,18/09/2000,1
45,1998/0252(COD),21/09/1998,18/09/2000,1
46,1998/0300(COD),21/10/1998,22/01/2001,1
47,1998/0300(COD),21/10/1998,22/01/2001,1
48,1998/0300(COD),21/10/1998,22/01/2001,1
49,1998/0323(COD),07/01/1999,22/05/2001,1
50,1998/0323(COD),07/01/1999,22/05/2001,1
51,1998/0323(COD),07/01/1999,22/05/2001,1
52,1998/0325(COD),18/11/1998,08/06/2000,0
53,1998/0325(COD),18/11/1998,08/06/2000,0
54,1998/0325(COD),18/11/1998,08/06/2000,0
55,1999/0083(COD),17/05/1999,10/10/2000,0
56,1999/0127(COD),16/06/1999,18/09/2000,0
57,1999/0127(COD),16/06/1999,18/09/2000,0
58,1999/0158(COD),22/07/1999,12/02/2001,1
59,1999/0204(COD),13/10/1999,17/07/2000,0
60,1999/0204(COD),13/10/1999,17/07/2000,0
61,1999/0204(COD),13/10/1999,17/07/2000,0
62,1999/0204(COD),13/10/1999,17/07/2000,0
63,1999/0217(COD),25/10/1999,16/05/2000,0
64,1999/0238(COD),10/11/1999,14/12/2005,0
65,1999/0238(COD),10/11/1999,14/12/2005,0
66,1999/0238(COD),10/11/1999,14/12/2005,0
67,1999/0244(COD),16/11/1999,05/06/2001,0
68,1999/0244(COD),16/11/1999,05/06/2001,0
69,1999/0244(COD),16/11/1999,05/06/2001,0
70,1999/0244(COD),16/11/1999,05/06/2001,0
71,1999/0244(COD),16/11/1999,05/06/2001,0
72,1999/0252(COD),25/11/1999,19/03/2001,0
73,1999/0252(COD),25/11/1999,19/03/2001,0
74,1999/0252(COD),25/11/1999,19/03/2001,0
75,1999/0275(COD),14/12/1999,19/01/2001,0
174,2004/0167(COD),13/04/2004,05/07/2006,0
175,2004/0167(COD),13/04/2004,05/07/2006,0
176,2004/0167(COD),13/04/2004,05/07/2006,0
177,2004/0167(COD),13/04/2004,05/07/2006,0
181,2004/0218(COD),14/04/2004,25/05/2007,0
182,2004/0218(COD),14/04/2004,25/05/2007,0
183,2004/0218(COD),14/04/2004,25/05/2007,0
184,2004/0219(COD),29/09/2004,24/10/2006,0
185,2004/0219(COD),29/09/2004,24/10/2006,0
186,2004/0219(COD),29/09/2004,24/10/2006,0
188,2005/0007(COD),16/02/2005,05/07/2006,1
189,2005/0028(COD),15/12/2005,15/01/2008,1
190,2005/0028(COD),15/12/2005,15/01/2008,1
193,2005/0182(COD),21/09/2005,15/03/2006,0
194,2005/0182(COD),21/09/2005,15/03/2006,0
195,2005/0182(COD),21/09/2005,15/03/2006,0
196,2005/0182(COD),21/09/2005,15/03/2006,0
197,2005/0182(COD),21/09/2005,15/03/2006,0
198,2005/0183(COD),21/09/2005,21/05/2008,0
199,2005/0183(COD),21/09/2005,21/05/2008,0
200,2005/0214(COD),20/10/2005,16/04/2014,0
201,2005/0214(COD),20/10/2005,16/04/2014,0
202,2005/0214(COD),20/10/2005,16/04/2014,0
203,2005/0214(COD),20/10/2005,16/04/2014,0
204,2005/0245(COD),01/12/2005,13/11/2007,0
205,2005/0245(COD),01/12/2005,13/11/2007,0
206,2005/0245(COD),01/12/2005,13/11/2007,0
207,2005/0245(COD),01/12/2005,13/11/2007,0
208,2005/0260(COD),13/12/2005,11/12/2007,1
209,2005/0260(COD),13/12/2005,11/12/2007,1
210,2005/0260(COD),13/12/2005,11/12/2007,1
211,2005/0260(COD),13/12/2005,11/12/2007,1
212,2005/0260(COD),13/12/2005,11/12/2007,1
213,2005/0281(COD),21/12/2005,19/11/2008,0
214,2005/0281(COD),21/12/2005,19/11/2008,0
215,2005/0281(COD),21/12/2005,19/11/2008,0
216,2005/0281(COD),21/12/2005,19/11/2008,0
241,2006/0132(COD),12/07/2006,21/10/2009,1
242,2006/0132(COD),12/07/2006,21/10/2009,1
243,2006/0196(COD),18/10/2006,20/02/2008,0
244,2006/0196(COD),18/10/2006,20/02/2008,0
247,2007/0035(COD),24/01/2007,13/11/2007,0
258,2005/0167(COD),01/09/2005,16/12/2008,1
259,2005/0167(COD),01/09/2005,16/12/2008,1
260,2005/0167(COD),01/09/2005,16/12/2008,1
261,2005/0167(COD),01/09/2005,16/12/2008,1
262,2005/0183(COD),21/09/2005,21/05/2008,0
263,2005/0183(COD),21/09/2005,21/05/2008,0
264,2005/0183(COD),21/09/2005,21/05/2008,0
265,2006/0129(COD),17/07/2006,16/12/2008,1
266,2006/0129(COD),17/07/2006,16/12/2008,1
267,2006/0129(COD),17/07/2006,16/12/2008,1
268,2006/0129(COD),17/07/2006,16/12/2008,1
269,2006/0140(COD),19/07/2006,11/07/2007,0
270,2006/0272(COD),13/12/2006,16/12/2008,0
271,2006/0304(COD),20/12/2006,19/11/2008,1
272,2006/0304(COD),20/12/2006,19/11/2008,1
273,2006/0304(COD),20/12/2006,19/11/2008,1
274,2006/0304(COD),20/12/2006,19/11/2008,1
275,2007/0013(COD),24/01/2007,11/03/2009,1
276,2007/0013(COD),24/01/2007,11/03/2009,1
277,2007/0013(COD),24/01/2007,11/03/2009,1
278,2007/0013(COD),24/01/2007,11/03/2009,1
279,2007/0013(COD),24/01/2007,11/03/2009,1
280,2007/0297(COD),19/12/2007,23/04/2009,0
281,2007/0297(COD),19/12/2007,23/04/2009,0
282,2007/0297(COD),19/12/2007,23/04/2009,0
283,2007/0297(COD),19/12/2007,23/04/2009,0
284,2007/0297(COD),19/12/2007,23/04/2009,0
285,2006/0031(COD),02/03/2006,21/05/2008,0
286,2006/0031(COD),02/03/2006,21/05/2008,0
287,2004/0287(COD),28/12/2004,09/07/2008,0
288,2004/0287(COD),28/12/2004,09/07/2008,0
289,2004/0287(COD),28/12/2004,09/07/2008,0
290,2004/0287(COD),28/12/2004,09/07/2008,0
291,2004/0287(COD),28/12/2004,09/07/2008,0
292,2005/0246(COD),30/11/2005,23/04/2008,1
293,2005/0246(COD),30/11/2005,23/04/2008,1
294,2005/0246(COD),30/11/2005,23/04/2008,1
295,2005/0246(COD),30/11/2005,23/04/2008,1
296,2005/0246(COD),30/11/2005,23/04/2008,1
297,2005/0246(COD),30/11/2005,23/04/2008,1
302,2004/0156(COD),14/07/2004,09/07/2008,0
303,2004/0156(COD),14/07/2004,09/07/2008,0
304,2004/0156(COD),14/07/2004,09/07/2008,0
305,2006/0273(COD),13/12/2006,17/06/2008,0
306,2006/0130(COD),18/07/2006,24/09/2008,0
307,2006/0130(COD),18/07/2006,24/09/2008,0
308,2006/0130(COD),18/07/2006,24/09/2008,0
309,2006/0130(COD),18/07/2006,24/09/2008,0
310,2006/0206(COD),26/10/2006,22/10/2008,0
311,2006/0206(COD),26/10/2006,22/10/2008,0
312,2006/0206(COD),26/10/2006,22/10/2008,0
313,2006/0206(COD),26/10/2006,22/10/2008,0
324,2007/0249(COD),13/11/2007,25/11/2009,0
325,2007/0291(COD),01/06/2007,24/09/2008,1
326,2007/0028(COD),14/02/2007,09/07/2008,0
327,2007/0028(COD),14/02/2007,09/07/2008,0
328,2007/0028(COD),14/02/2007,09/07/2008,0
329,2007/0028(COD),14/02/2007,09/07/2008,0
330,2005/0211(COD),24/10/2005,17/06/2008,0
331,2005/0211(COD),24/10/2005,17/06/2008,0
