country,abbr,weights,quota,block,banzhaf,shapleyshubik
austria,at,10,255,91,0.0309,0.027812
belgium,be,12,255,91,0.0368,0.034902
bulgaria,bu,10,255,91,0.0309,0.027812
cyprus,cy,4,255,91,0.0125,0.008003
czech republic,cz,12,255,91,0.0368,0.034902
denmark,dk,7,255,91,0.0218,0.014234
estonia,ee,4,255,91,0.0125,0.008003
finland,fi,7,255,91,0.0218,0.014234
france,fr,29,255,91,0.0778,0.09221
germany,de,29,255,91,0.0778,0.09221
greece,el,12,255,91,0.0368,0.034902
hungary,hu,12,255,91,0.0368,0.034902
ireland,ie,7,255,91,0.0218,0.014234
italy,it,29,255,91,0.0778,0.09221
latvia,lv,4,255,91,0.0125,0.008003
lithuania,lt,7,255,91,0.0218,0.014234
luxembourg,lu,4,255,91,0.0125,0.008003
malta,mt,3,255,91,0.0094,0.00652
netherlands,nl,13,255,91,0.0397,0.034902
poland,pl,27,255,91,0.0742,0.09221
portugal,pt,12,255,91,0.0368,0.034902
romania,ro,14,255,91,0.0426,0.036184
slovenia,si,4,255,91,0.0125,0.008003
slovakia,sk,7,255,91,0.0218,0.014234
spain,es,27,255,91,0.0742,0.09221
sweden,se,10,255,91,0.0309,0.027812
united kingdom,uk,29,255,91,0.0778,0.09221
