,isnrnmc,cod,early_agree,ea,result
1,184,2004/0219(COD),1,0,0
2,185,2004/0219(COD),1,0,0
3,186,2004/0219(COD),1,0,0
4,213,2005/0281(COD),0,1,1
5,214,2005/0281(COD),0,1,1
6,215,2005/0281(COD),0,1,1
7,216,2005/0281(COD),0,1,1
8,247,2007/0035(COD),1,0,0
9,262,2005/0183(COD),0,1,1
10,263,2005/0183(COD),0,1,1
11,264,2005/0183(COD),0,1,1
12,305,2006/0273(COD),1,0,1
13,306,2006/0130(COD),1,0,1
14,307,2006/0130(COD),1,0,1
15,308,2006/0130(COD),1,0,1
16,309,2006/0130(COD),1,0,1
17,326,2007/0028(COD),1,0,0
18,327,2007/0028(COD),1,0,0
19,328,2007/0028(COD),1,0,0
20,329,2007/0028(COD),1,0,0
